Datum	2021-02-18
Zeit	14:25:18

KSP-h(max)[m]	Zeile-Schnitt(alle_Daten)	Zeile_Schnitt(MM-Daten)
0.28	4020	311


Kistler-basierte Maximalwerte
Fz_max[N]	I_max[Ns]	v_max[m/s]	P_abs_max[W]	P_rel_max[W]
4643.951	770.388	11.09	15601.687	224.592
myoMOTION-basierte Maximalwerte
Fz_max[N]	I_max[Ns]	v_max[m/s]	P_abs_max[W]	P_rel_max[W]
4623.2	652.27	9.39	15256.305	219.62


# Zeit[Hz]	Kraft[N]	Impuls[Ns]	Geschw[m/s]	P_abs[W]	P_rel[W]
157.000000	804.224000	13.228000	0.190000	153.145000	2.205000
158.000000	804.224000	13.310000	0.192000	154.091000	2.218000
159.000000	804.224000	13.392000	0.193000	155.039000	2.232000
160.000000	803.890000	13.474000	0.194000	155.921000	2.245000
161.000000	803.890000	13.555000	0.195000	156.865000	2.258000
162.000000	803.890000	13.637000	0.196000	157.809000	2.272000
163.000000	803.890000	13.718000	0.197000	158.754000	2.285000
164.000000	803.890000	13.800000	0.199000	159.698000	2.299000
165.000000	803.890000	13.882000	0.200000	160.643000	2.313000
166.000000	803.890000	13.963000	0.201000	161.587000	2.326000
167.000000	803.890000	14.045000	0.202000	162.532000	2.340000
168.000000	803.562000	14.126000	0.203000	163.408000	2.352000
169.000000	803.902000	14.208000	0.205000	164.421000	2.367000
170.000000	803.562000	14.290000	0.206000	165.295000	2.379000
171.000000	803.598000	14.371000	0.207000	166.243000	2.393000
172.000000	803.257000	14.452000	0.208000	167.114000	2.406000
173.000000	803.598000	14.533000	0.209000	168.124000	2.420000
174.000000	802.922000	14.615000	0.210000	168.924000	2.432000
175.000000	802.934000	14.696000	0.212000	169.860000	2.445000
176.000000	803.269000	14.777000	0.213000	170.871000	2.460000
177.000000	802.934000	14.858000	0.214000	171.734000	2.472000
178.000000	802.934000	14.939000	0.215000	172.672000	2.486000
179.000000	802.934000	15.020000	0.216000	173.606000	2.499000
180.000000	802.934000	15.101000	0.217000	174.544000	2.513000
181.000000	802.600000	15.182000	0.219000	175.404000	2.525000
182.000000	802.600000	15.262000	0.220000	176.338000	2.538000
183.000000	802.600000	15.343000	0.221000	177.270000	2.552000
184.000000	802.271000	15.424000	0.222000	178.130000	2.564000
185.000000	802.271000	15.504000	0.223000	179.059000	2.578000
186.000000	802.271000	15.585000	0.224000	179.991000	2.591000
187.000000	802.271000	15.665000	0.226000	180.919000	2.604000
188.000000	802.271000	15.746000	0.227000	181.851000	2.618000
